"Customer Name","Location Name","Date","Program Name","Class Name","Component Type","Component ID","Component Name","Component Description","Performance Result Type","Rep Scheme","Fully Formatted Result","From Weightlifting Total","From Variable Set","Is Rx","Is Rx Plus","Is Personal Record","Personal Record Description","Comment"
"Dirigo Fitness",,12/13/1901,,,,0,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Dirigo Fitness","Dirigo Fitness",07/30/2018,"Adult Athlete","6:00 AM","Weightlifting",10085431,"DB Superman's","https://www.youtube.com/watch?v=A6RXOJ3FxUA","Weight",,"4 x 8 @ 5 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"Dirigo Fitness","Dirigo Fitness",08/13/2018,"Adult Athlete","5:30 P.M","Weightlifting",10099375,"Barbell RDL (DF)","<p>https://www.youtube.com/watch?v=mZxxJEncsyw</p>","Weight",,"3 x 10 @ 85 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"Dirigo Fitness","Dirigo Fitness",08/20/2018,"Adult Athlete","5:30 P.M","Weightlifting",10099375,"Barbell RDL (DF)","<p>https://www.youtube.com/watch?v=mZxxJEncsyw</p>","Weight",,"3 x 10 @ 85 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"Dirigo Fitness","Dirigo Fitness",07/10/2018,"Adult Athlete","5:30 P.M","Gymnastics",10100359,"Rack Pull Ups","https://www.youtube.com/watch?v=C7qIgpv_iQs","Max reps",,"3 x 8",FALSE,FALSE,FALSE,FALSE,FALSE,,
"Dirigo Fitness","Dirigo Fitness",07/24/2018,"Adult Athlete","5:30 P.M","Gymnastics",10100359,"Rack Pull Ups","https://www.youtube.com/watch?v=C7qIgpv_iQs","Max reps",,"3 x 8",FALSE,FALSE,FALSE,FALSE,FALSE,,
"Dirigo Fitness","Dirigo Fitness",07/10/2018,"Adult Athlete","5:30 P.M","Metcon",10100428,"Metcon","AMRAP 10 mins
200m Run / Row
15 Air Squats
45s Hollow Hold","AMRAP - Rounds",,"0 Rounds",FALSE,FALSE,FALSE,FALSE,FALSE,,
"Dirigo Fitness","Dirigo Fitness",08/08/2018,"Adult Athlete","5:30 P.M","Metcon",10275852,"Metcon","10 RFT
5 Box Jumps
10 T2P(Toes to Post)
20 Cal Row
5 Burpees
HR @ 85-88%","Time",,"43:37",FALSE,FALSE,FALSE,FALSE,FALSE,,
"Dirigo Fitness","Dirigo Fitness",09/08/2018,"Adult Athlete","8:00 AM","Metcon",10417762,"10 min Row MAX Calories","burn as many calories as possible!!","Calories",,"133 Calories",FALSE,FALSE,TRUE,FALSE,FALSE,,
"Dirigo Fitness","Dirigo Fitness",09/13/2018,"Adult Athlete","6:00 AM","Metcon",10519918,"Metcon","8 min AMRAP
Push ups x max reps
every time you fail you have to do 12 med ball slams
***count reps","AMRAP - Reps",,"50 Reps",FALSE,FALSE,TRUE,FALSE,FALSE,,
