candidate_name,slug,url,page_title,excerpt,found_source,status
abcdefghjklmnoprstwz,,,,,wodwell,not found
afghanistan,,,,,wodwell,not found
and laura,,,,,wodwell,not found
and noah,,,,,wodwell,not found
and parents anibal and maria,,,,,wodwell,not found
back extensions,,,,,wodwell,not found
brian lavigne the heroes,,,,,wodwell,not found
broad fitness balanced training,,,,,wodwell,not found
cardio,cardio,https://wodwell.com/wod/cardio/,"""Cardio"" Workout, Coach Creation WOD | WODwell",Training Program,wodwell,found
contents,,,,,wodwell,not found
crossfit heroes,,,,,wodwell,not found
david weiss,david-weiss,https://wodwell.com/wod/david-weiss/,"""David Weiss"" Workout, 555 Fitness Hero WOD | WODwell",Training Program,wodwell,found
early their,,,,,wodwell,not found
ebbert a retired navy seal,,,,,wodwell,not found
father kris and stepbrother ensign aaron jozsef,,,,,wodwell,not found
ghd sit ups,,,,,wodwell,not found
greg,,,,,wodwell,not found
handstand push ups,,,,,wodwell,not found
hotel room wods,,,,,wodwell,not found
is half the struggle for this reason,,,,,wodwell,not found
knees to elbow,,,,,wodwell,not found
mallory,,,,,wodwell,not found
marshal s service and served in the u s army,,,,,wodwell,not found
max reps handstand push ups,,,,,wodwell,not found
miles and jared and sister carmen,,,,,wodwell,not found
mote,mote,https://wodwell.com/wod/mote/,"""Mote"" Workout, Hero WOD | WODwell",Training Program,wodwell,found
o hotel room workouts,,,,,wodwell,not found
o travel workouts,,,,,wodwell,not found
parents jeff and dianne falkel,,,,,wodwell,not found
partner a perform amrap of,,,,,wodwell,not found
